"SunPrairie","Sun Prairie"
"VillageofWindsor",Windsor
"COTTAGEGROVE","Cottage Grove"
"CottageGrove","Cottage Grove"
"VillageofDeerfield",Deerfield
"WAUNAKEE",Waunakee
"DEFOREST","Deforest"
StevensPoint,Stevens Point
StevensPt,Stevens Point
ParkRidge,Park Ridge
Brooksfield,Brookfield
ElmGrove,Elm Grove
MenomoneeFalls,Menomonee Falls
NewBerlin,New Berlin
LacLaBelle,Lac La Belle
OakCreek,Oak Creek
SouthMilwaukee,South Milwaukee
StFrancis,St. Francis
SouthMKE,South Milwaukee
Wautwatosa,Wauwatosa
WestMilwaukee,West Milwaukee
WestAllis,West Allis
HalesCorners,Hales Corners
MKE,Milwaukee
PleasantPrairie,Pleasant Prairie
GB,Green Bay
GreenBay,Green Bay
DePere,De Pere
Ashw,Ashwaubenon
SaukCity,Sauk City
PrairieDuSac,Prairie Du Sac
SpringGreen,Spring Green
PrairieDuSacVge,Prairie Du Sac
SaukCityVge,Sauk City
WestBaraboo,West Baraboo
PrairieDuSac,Prairie Du Sac
SpringGreenVge,Spring Green
EastTroy,East Troy
LakeGeneva,Lake Geneva
WilliamsBay,Williams Bay
"WestAllis","West Allis"
"WestMilwaukee","West Milwaukee"
"HalesCorners","Hales Corners"
"Milkwaukee","Milwaukee",
"Wautwatosa","Wauwatosa"
"EauClaire","Eau Claire"
"LittleChute","Little Chute"
"GrandChute","Grand Chute"
"OakCreek","Oak Creek"
"SouthMilwaukee","South Milwaukee"
"SouthMKE","South Milwaukee"
"StFrancis","Saint Francis"
